target,model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std
demand,RandomForest,0.05352099226347512,0.005208920757280448,0.042667682960786234,0.00456565047586674,0.9325327459018122,0.034184675521185225
demand,XGBoost,0.05497872801967894,0.01332419127180655,0.04621704673081872,0.009695980087774485,0.9373681362521324,0.011145412199399452
demand,NeuralNetwork,0.11235251839377228,0.025232719355521058,0.08606369716208015,0.020008008755433133,0.7028371439322052,0.1419992246777517
cost,RandomForest,0.10293746917299548,0.02575321438280353,0.08035929104653175,0.01857974827808389,0.7845867464977503,0.06854995322997516
cost,XGBoost,0.09243430403631102,0.020724683997839326,0.07265272452028008,0.013766155772755525,0.8219766676417164,0.06390742035468647
cost,NeuralNetwork,0.1391583469559445,0.03694393152123982,0.10784187919798853,0.018860468588141808,0.5660532108796533,0.23057969468178366
